message_id,datetime,residence_id,text
MSG_SI9NB74X2EK3,2025-12-27 01:42:18,RES_RABAT_RIHAB,Ascenseur en panne depuis ce matin près du tableau électrique. Personnes âgées au 5e…
MSG_1YV2STN7E36H,2026-01-15 09:15:15,RES_FES_ANDALOUS,Ascenseur en panne depuis depuis 3 jours près du tableau électrique. Personnes âgées au 5e…
MSG_J88QEOZ0KZ4Z,2026-01-16 04:58:09,RES_RABAT_RIHAB,Pouvez-vous m’envoyer le détail des charges du mois dernier ?
MSG_6RIDLOFAS1EK,2026-01-15 07:26:07,RES_FES_ATLAS,C’est quoi la procédure pour réserver la salle polyvalente ?
MSG_FFQOT8HLJEFY,2026-01-18 14:53:54,RES_FES_ATLAS,Réclamation propreté : cage d’escalier A sale depuis depuis 30 min avec des étincelles. 🙏
MSG_LPU0DK0GET8T,2026-01-02 13:31:02,RES_FES_ANDALOUS,🚨 Inondation majeure au couloir du 3e : l’eau monte vite près du tableau électrique. Urgent !!
MSG_6TA7YPP5ZP7R,2026-01-07 20:10:21,RES_FES_ZAYTUNA,"lgarage bab ma kayt7ellch, 7abssna"
MSG_UTDD2EC2IHOY,2026-01-20 15:06:44,RES_FES_ATLAS,"salam, kayn moshkil f lma f darna, ma kaynch lma mn sbah"
MSG_SUSMESJT2JPN,2026-01-12 19:28:10,RES_FES_ANDALOUS,C’est quoi la procédure pour réserver la salle polyvalente ?
MSG_LQC3C54WSQT2,2025-12-22 07:47:41,RES_CASA_MARINA,La porte du garage est bloquée depuis depuis 1h. Impossible d’entrer/sortir ça devient dangereux.
MSG_IUU9K9XJUY0B,2026-01-18 18:30:53,RES_RABAT_RIHAB,⚠️ Forte odeur de gaz au couloir du 3e. On a peur d’une fuite. Pouvez-vous agir tout de suite ?
MSG_NY9V20YAR821,2026-01-17 08:59:34,RES_FES_ANDALOUS,ASCENSEUR EN PANNE DEPUIS DEPUIS 3 JOURS ET L’EAU ARRIVE CHEZ PLUSIEURS VOISINS. PERSONNES ÂGÉES AU 5E…
MSG_K8LW2LM349EL,2025-12-30 02:00:32,RES_CASA_MARINA,Le badge / télécommande ne marche plus on entend un bruit bizarre. Comment faire ?
MSG_RTP0LZJJEGET,2025-12-29 07:42:54,RES_FES_ANDALOUS,🚨 Inondation majeure au local poubelles : l’eau monte vite on entend un bruit bizarre. Urgent !! 😟
MSG_7VCNEAS6Y3VG,2026-01-19 04:14:00,RES_CASA_OASIS,"salam, kayn moshkil f lma f darna, ma kaynch lma mn sbah"
MSG_CZO2SUG5HCBB,2026-01-06 19:52:02,RES_RABAT_RIHAB,Quelqu’un est garé sur ma place F-09. Pouvez-vous vérifier ça devient dangereux ?
MSG_Y4LYK83TQLL8,2026-01-08 22:53:53,RES_CASA_OASIS,🚨 Agression / bagarre au ascenseur B et personne ne répond. Merci d’envoyer la sécurité / prévenir les autorités.
MSG_4Q5V7C6S5NKB,2025-12-27 15:40:10,RES_FES_ANDALOUS,Le badge / télécommande ne marche plus et l’eau arrive chez plusieurs voisins. Comment faire ?
MSG_DBVZB0OIH5CS,2026-01-03 09:00:58,RES_FES_ANDALOUS,"ri7a dyal gaz f lhall, hadi khatira بزاف!"
MSG_36U8UEIHX74D,2025-12-29 13:55:37,RES_FES_ATLAS,Ascenseur en panne depuis depuis 30 min près du tableau électrique. Personnes âgées au 5e…
MSG_4VPW232UTVG9,2026-01-03 12:56:38,RES_FES_ZAYTUNA,Les poubelles débordent et l’eau arrive chez plusieurs voisins. Merci de programmer un passage. 🙏
MSG_6KOF8KRD5EQY,2026-01-15 13:22:11,RES_CASA_MARINA,🚨 Ascenseur bloqué avec une voisine à l’intérieur au cage d’escalier A. Panique depuis ce matin. Faites le nécessaire SVP. svp
MSG_4P501NOUHTCS,2026-01-16 00:37:47,RES_FES_ZAYTUNA,Panne d’eau générale depuis depuis 2h. On n’a plus d’eau près du tableau électrique. merci
MSG_1ESP7BM41QES,2026-01-04 15:45:37,RES_RABAT_RIHAB,Pouvez-vous m’envoyer le détail des charges du mois dernier ? !!
MSG_7PZE9VIFTTD9,2025-12-25 20:11:30,RES_CASA_MARINA,🚨 ASCENSEUR BLOQUÉ AVEC UN RÉSIDENT À L’INTÉRIEUR AU TOIT. PANIQUE ÇA DEVIENT DANGEREUX. FAITES LE NÉCESSAIRE SVP. MERCI
MSG_6DVTJA0ASSNH,2026-01-04 16:03:07,RES_CASA_MARINA,Pouvez-vous m’envoyer le détail des charges du mois dernier ?
MSG_LAY64YFDS0DJ,2025-12-31 13:19:16,RES_CASA_MARINA,Le badge / télécommande ne marche plus près du tableau électrique. Comment faire ?
MSG_EZDUXLEZ896D,2026-01-09 21:18:15,RES_CASA_OASIS,La porte du garage est bloquée depuis depuis 1h. Impossible d’entrer/sortir et l’eau arrive chez plusieurs voisins. 😟
MSG_46AEXL68J0NM,2025-12-25 20:37:26,RES_CASA_MARINA,Quelqu’un est garé sur ma place F-09. Pouvez-vous vérifier depuis ce matin ?
MSG_6FF7SO8W5038,2025-12-30 20:20:58,RES_CASA_MARINA,C’est quoi la procédure pour réserver la salle polyvalente ?
MSG_1TAA0I5LDSLC,2025-12-22 13:15:56,RES_FES_ZAYTUNA,Les poubelles débordent et il y a des enfants. Merci de programmer un passage.
MSG_910T2F7ATWYA,2026-01-05 14:19:24,RES_FES_ATLAS,Quelqu’un est garé sur ma place B-05. Pouvez-vous vérifier avec des étincelles ?
MSG_MGYN2JCPP9GK,2025-12-25 07:32:06,RES_FES_ATLAS,La porte du garage est bloquée depuis depuis 1h. Impossible d’entrer/sortir et personne ne répond.
MSG_ZPXVPBL9OT7T,2026-01-02 23:59:53,RES_FES_ZAYTUNA,Bruit excessif chez les voisins du B-05 (musique/soirée) ça devient dangereux. Merci d’intervenir. merci
MSG_SLH9BH811KER,2026-01-10 05:44:58,RES_FES_ANDALOUS,ASCENSEUR EN PANNE DEPUIS DEPUIS 3 JOURS ÇA DEVIENT DANGEREUX. PERSONNES ÂGÉES AU 5E…
MSG_LL7V5F1BCPPV,2026-01-09 10:33:32,RES_FES_ZAYTUNA,"bghit attestation dyal sakan, chno khassni ndir؟"
MSG_0ATVZKHIUIT7,2026-01-05 17:17:27,RES_FES_ZAYTUNA,Fuite importante au ascenseur B et l’eau arrive chez plusieurs voisins. Ça coule en continu.
MSG_ELRQVSLWF90K,2026-01-05 15:54:12,RES_CASA_OASIS,"ri7a dyal gaz f lhall, hadi khatira بزاف!"
MSG_QCQ30O30UBMC,2025-12-23 06:12:10,RES_FES_ATLAS,Panne d’eau générale depuis ce matin. On n’a plus d’eau et personne ne répond.
MSG_GE2J51B3JCZU,2025-12-24 01:47:35,RES_CASA_MARINA,"bghit attestation dyal sakan, chno khassni ndir؟"
MSG_076A3KKRZD5E,2026-01-10 20:15:40,RES_FES_ZAYTUNA,Les poubelles débordent avec des étincelles. Merci de programmer un passage.
MSG_UU7ZY6T5PADN,2025-12-22 21:49:30,RES_RABAT_RIHAB,Je n’ai pas reçu la quittance / facture. Merci de me la transmettre. merci
MSG_IVZK7A45HVGO,2026-01-20 16:50:32,RES_FES_ATLAS,Le badge / télécommande ne marche plus près du tableau électrique. Comment faire ?
MSG_ZXVML90PXRLZ,2026-01-16 14:45:03,RES_RABAT_RIHAB,Réclamation propreté : parking - niveau -1 sale depuis depuis 3 jours et personne ne répond.
MSG_6G5G79OR7875,2025-12-20 18:47:49,RES_FES_ZAYTUNA,"kayn sda3 kbir 3nd jaran f lila, bghina tdkhl"
MSG_0NEC8UYO57P6,2025-12-22 19:56:20,RES_FES_ZAYTUNA,🚨 Inondation majeure au cage d’escalier A : l’eau monte vite ça devient dangereux. Urgent !! merci
MSG_OF0ONJPI163Y,2026-01-03 03:40:21,RES_RABAT_RIHAB,C’est quoi la procédure pour réserver la salle polyvalente ?
MSG_XW1VZC7D2KD1,2026-01-10 13:55:46,RES_CASA_MARINA,C’est quoi la procédure pour réserver la salle polyvalente ?
MSG_SPFHV5BRN7ZS,2025-12-26 09:15:36,RES_FES_ZAYTUNA,La porte du garage est bloquée depuis depuis 1h. Impossible d’entrer/sortir ça devient dangereux. svp
MSG_D5050UI22KX7,2026-01-08 03:32:02,RES_CASA_MARINA,À quelle heure passe l’agent de nettoyage normalement ?
MSG_S4C3BAEWCFHQ,2025-12-23 06:25:46,RES_CASA_OASIS,Fuite importante au hall B et ça sent fort. Ça coule en continu.
MSG_N02YC0MDICVW,2026-01-18 05:56:03,RES_CASA_MARINA,Panne d’eau générale depuis depuis 2h. On n’a plus d’eau depuis ce matin.
MSG_LFYO1750CEHL,2026-01-12 13:20:33,RES_CASA_OASIS,Coupure d’électricité dans les parties communes ça devient dangereux. Escaliers dans le noir. 🙏
MSG_TZ91X70FQLDB,2026-01-01 13:29:38,RES_CASA_OASIS,Je n’ai pas reçu la quittance / facture. Merci de me la transmettre.
MSG_UOVW1N6KVPUC,2025-12-25 03:36:55,RES_FES_ANDALOUS,🚨 Inondation majeure au cage d’escalier A : l’eau monte vite et l’eau arrive chez plusieurs voisins. Urgent !!
MSG_SX43WFSQG8X8,2026-01-12 19:19:20,RES_FES_ZAYTUNA,C’est quoi la procédure pour réserver la salle polyvalente ?
MSG_K585X8A5FBUO,2026-01-15 21:54:48,RES_FES_ATLAS,Je n’ai pas reçu la quittance / facture. Merci de me la transmettre. !!
MSG_6H0W064W3U1H,2025-12-22 02:42:27,RES_CASA_OASIS,À quelle heure passe l’agent de nettoyage normalement ?
MSG_T9MOGE4QXXVA,2026-01-05 12:33:58,RES_FES_ANDALOUS,"ri7a dyal gaz f lhall, hadi khatira بزاف!"
MSG_OXIE0RNUJJQ9,2026-01-03 04:43:16,RES_RABAT_RIHAB,Coupure d’électricité dans les parties communes et l’eau arrive chez plusieurs voisins. Escaliers dans le noir.
