row_index,message_id,urgency_level,category,secondary_category,error,raw_output
2,MSG_1YV2STN7E36H,P1,elevator,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
3,MSG_J88QEOZ0KZ4Z,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
5,MSG_FFQOT8HLJEFY,P1,electricity,cleanliness,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
7,MSG_6TA7YPP5ZP7R,P3,garage_access,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
8,MSG_UTDD2EC2IHOY,P1,watr_leak,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
9,MSG_SUSMESJT2JPN,P3,reservation,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
11,MSG_IUU9K9XJUY0B,P0,security,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
12,MSG_NY9V20YAR821,P1,elevator,watr_leak,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
13,MSG_K8LW2LM349EL,P2,garage_access,noise,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
14,MSG_RTP0LZJJEGET,P0,watr_leak,cleanliness,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
15,MSG_7VCNEAS6Y3VG,P1,watr_leak,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
16,MSG_CZO2SUG5HCBB,P3,other,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
18,MSG_4Q5V7C6S5NKB,P2,watr_leak,garage_access,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
19,MSG_DBVZB0OIH5CS,P0,security,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
20,MSG_36U8UEIHX74D,P1,elevator,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
22,MSG_6KOF8KRD5EQY,P0,elevator,garage_access,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
23,MSG_4P501NOUHTCS,P1,watr_leak,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
24,MSG_1ESP7BM41QES,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
26,MSG_6DVTJA0ASSNH,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
28,MSG_EZDUXLEZ896D,P1,watr_leak,garage_access,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
29,MSG_46AEXL68J0NM,P3,other,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
31,MSG_1TAA0I5LDSLC,P2,cleanliness,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
33,MSG_MGYN2JCPP9GK,P1,garage_access,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
34,MSG_ZPXVPBL9OT7T,P2,noise,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
35,MSG_SLH9BH811KER,P1,elevator,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
37,MSG_0ATVZKHIUIT7,P1,elevator,watr_leak,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
38,MSG_ELRQVSLWF90K,P0,security,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
39,MSG_QCQ30O30UBMC,P1,watr_leak,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
40,MSG_GE2J51B3JCZU,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
42,MSG_UU7ZY6T5PADN,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
44,MSG_ZXVML90PXRLZ,P2,cleanliness,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
46,MSG_0NEC8UYO57P6,P0,watr_leak,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
49,MSG_SPFHV5BRN7ZS,P1,garage_access,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
50,MSG_D5050UI22KX7,P3,cleanliness,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
