message_id,datetime,residence_id,text,text_clean,channel,has_media,language,language_confidence,priority_rules,rule_match,is_urgent_rules,category,category_match,secondary_category
MSG_LPU0DK0GET8T,2026-01-02 13:31:02,RES_FES_ANDALOUS,🚨 Inondation majeure au couloir du 3e : l’eau monte vite près du tableau électrique. Urgent !!,inondation majeure au couloir du 3e l'eau monte vite près du tableau électrique. urgent !!,whatsapp,0,fr,0.8546543952478428,P0,P0_FLOOD_MAJOR,1,watr_leak,CAT_WATER,
MSG_IUU9K9XJUY0B,2026-01-18 18:30:53,RES_RABAT_RIHAB,⚠️ Forte odeur de gaz au couloir du 3e. On a peur d’une fuite. Pouvez-vous agir tout de suite ?,forte odeur de gaz au couloir du 3e. on a peur d'une fuite. pouvez-vous agir tout de suite ?,whatsapp,0,fr,0.8134171788328616,P0,P0_GAS,1,security,CAT_FORCED_SECURITY_P0,
MSG_RTP0LZJJEGET,2025-12-29 07:42:54,RES_FES_ANDALOUS,🚨 Inondation majeure au local poubelles : l’eau monte vite on entend un bruit bizarre. Urgent !! 😟,inondation majeure au local poubelles l'eau monte vite on entend un bruit bizarre. urgent !!,whatsapp,0,fr,0.8437256236466126,P0,P0_FLOOD_MAJOR,1,watr_leak,CAT_WATER,cleanliness
MSG_Y4LYK83TQLL8,2026-01-08 22:53:53,RES_CASA_OASIS,🚨 Agression / bagarre au ascenseur B et personne ne répond. Merci d’envoyer la sécurité / prévenir les autorités.,agression bagarre au ascenseur b et personne ne répond. merci d'envoyer la sécurité prévenir les autorités.,whatsapp,0,fr,0.8442759643342925,P0,P0_VIOLENCE,1,security,CAT_SECURITY,elevator
MSG_DBVZB0OIH5CS,2026-01-03 09:00:58,RES_FES_ANDALOUS,"ri7a dyal gaz f lhall, hadi khatira بزاف!",ri7a dyal gaz f lhall hadi khatira بزاف!,whatsapp,0,mixed,0.8631628680171801,P0,P0_GAS,1,security,CAT_FORCED_SECURITY_P0,
MSG_6KOF8KRD5EQY,2026-01-15 13:22:11,RES_CASA_MARINA,🚨 Ascenseur bloqué avec une voisine à l’intérieur au cage d’escalier A. Panique depuis ce matin. Faites le nécessaire SVP. svp,ascenseur bloqué avec une voisine à l'intérieur au cage d'escalier a. panique depuis ce matin. faites le nécessaire svp. svp,whatsapp,0,fr,0.8521044197839229,P0,P0_ELEVATOR_TRAPPED,1,elevator,CAT_ELEVATOR,garage_access
MSG_7PZE9VIFTTD9,2025-12-25 20:11:30,RES_CASA_MARINA,🚨 ASCENSEUR BLOQUÉ AVEC UN RÉSIDENT À L’INTÉRIEUR AU TOIT. PANIQUE ÇA DEVIENT DANGEREUX. FAITES LE NÉCESSAIRE SVP. MERCI,ascenseur bloqué avec un résident à l'intérieur au toit. panique ça devient dangereux. faites le nécessaire svp. merci,whatsapp,0,fr,0.849242232843679,P0,P0_ELEVATOR_TRAPPED,1,elevator,CAT_ELEVATOR,garage_access
MSG_ELRQVSLWF90K,2026-01-05 15:54:12,RES_CASA_OASIS,"ri7a dyal gaz f lhall, hadi khatira بزاف!",ri7a dyal gaz f lhall hadi khatira بزاف!,whatsapp,0,mixed,0.8631628680171801,P0,P0_GAS,1,security,CAT_FORCED_SECURITY_P0,
MSG_0NEC8UYO57P6,2025-12-22 19:56:20,RES_FES_ZAYTUNA,🚨 Inondation majeure au cage d’escalier A : l’eau monte vite ça devient dangereux. Urgent !! merci,inondation majeure au cage d'escalier a l'eau monte vite ça devient dangereux. urgent !! merci,whatsapp,0,fr,0.8531688538362774,P0,P0_FLOOD_MAJOR,1,watr_leak,CAT_WATER,
MSG_UOVW1N6KVPUC,2025-12-25 03:36:55,RES_FES_ANDALOUS,🚨 Inondation majeure au cage d’escalier A : l’eau monte vite et l’eau arrive chez plusieurs voisins. Urgent !!,inondation majeure au cage d'escalier a l'eau monte vite et l'eau arrive chez plusieurs voisins. urgent !!,whatsapp,0,fr,0.8611467175326125,P0,P0_FLOOD_MAJOR,1,watr_leak,CAT_WATER,
