message_id,datetime,residence_id,text,text_clean,channel,has_media,language,language_confidence,priority_rules,rule_match,is_urgent_rules
MSG_SI9NB74X2EK3,2025-12-27 01:42:18,RES_RABAT_RIHAB,Ascenseur en panne depuis ce matin près du tableau électrique. Personnes âgées au 5e...,ascenseur en panne depuis ce matin près du tableau électrique. personnes âgées au 5e...,whatsapp,0,fr,0.8722155730221341,P1,P1_KEYWORD,1
MSG_1YV2STN7E36H,2026-01-15 09:15:15,RES_FES_ANDALOUS,Ascenseur en panne depuis depuis 3 jours près du tableau électrique. Personnes âgées au 5e...,ascenseur en panne depuis depuis 3 jours près du tableau électrique. personnes âgées au 5e...,whatsapp,0,fr,0.8773366039860263,P1,P1_KEYWORD,1
MSG_J88QEOZ0KZ4Z,2026-01-16 04:58:09,RES_RABAT_RIHAB,Pouvez-vous m’envoyer le détail des charges du mois dernier ?,pouvez-vous m'envoyer le détail des charges du mois dernier ?,whatsapp,0,fr,0.8356005642471178,P3,P3_KEYWORD,0
MSG_6RIDLOFAS1EK,2026-01-15 07:26:07,RES_FES_ATLAS,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0
MSG_FFQOT8HLJEFY,2026-01-18 14:53:54,RES_FES_ATLAS,Réclamation propreté : cage d’escalier A sale depuis depuis 30 min avec des étincelles. 🙏,réclamation propreté cage d'escalier a sale depuis depuis 30 min avec des étincelles.,whatsapp,0,fr,0.8482169120891414,P1,P1_ELECTRIC_SPARKS,1
MSG_LPU0DK0GET8T,2026-01-02 13:31:02,RES_FES_ANDALOUS,🚨 Inondation majeure au couloir du 3e : l’eau monte vite près du tableau électrique. Urgent !!,inondation majeure au couloir du 3e l'eau monte vite près du tableau électrique. urgent !!,whatsapp,0,fr,0.8517140733992061,P0,P0_FLOOD_MAJOR,1
MSG_6TA7YPP5ZP7R,2026-01-07 20:10:21,RES_FES_ZAYTUNA,"lgarage bab ma kayt7ellch, 7abssna",lgarage bab ma kayt7ellch 7abssna,whatsapp,0,darija,0.9101453333107586,P1,P1_GARAGE_BLOCKED,1
MSG_UTDD2EC2IHOY,2026-01-20 15:06:44,RES_FES_ATLAS,"salam, kayn moshkil f lma f darna, ma kaynch lma mn sbah",salam kayn moshkil f lma f darna ma kaynch lma mn sbah,whatsapp,0,fr,0.7847120485040868,P1,P1_WATER_RULE,1
MSG_SUSMESJT2JPN,2026-01-12 19:28:10,RES_FES_ANDALOUS,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0
MSG_LQC3C54WSQT2,2025-12-22 07:47:41,RES_CASA_MARINA,La porte du garage est bloquée depuis depuis 1h. Impossible d’entrer/sortir ça devient dangereux.,la porte du garage est bloquée depuis depuis 1h. impossible d'entrer sortir ça devient dangereux.,whatsapp,0,fr,0.8570297321697699,P1,P1_GARAGE_BLOCKED,1
MSG_IUU9K9XJUY0B,2026-01-18 18:30:53,RES_RABAT_RIHAB,⚠️ Forte odeur de gaz au couloir du 3e. On a peur d’une fuite. Pouvez-vous agir tout de suite ?,forte odeur de gaz au couloir du 3e. on a peur d'une fuite. pouvez-vous agir tout de suite ?,whatsapp,0,fr,0.8096575317248342,P0,P0_GAS,1
MSG_NY9V20YAR821,2026-01-17 08:59:34,RES_FES_ANDALOUS,ASCENSEUR EN PANNE DEPUIS DEPUIS 3 JOURS ET L’EAU ARRIVE CHEZ PLUSIEURS VOISINS. PERSONNES ÂGÉES AU 5E...,ascenseur en panne depuis depuis 3 jours et l'eau arrive chez plusieurs voisins. personnes âgées au 5e...,whatsapp,0,fr,0.8800619575710185,P1,P1_KEYWORD,1
MSG_K8LW2LM349EL,2025-12-30 02:00:32,RES_CASA_MARINA,Le badge / télécommande ne marche plus on entend un bruit bizarre. Comment faire ?,le badge télécommande ne marche plus on entend un bruit bizarre. comment faire ?,whatsapp,0,fr,0.852322643980074,P2,P2_KEYWORD,0
MSG_RTP0LZJJEGET,2025-12-29 07:42:54,RES_FES_ANDALOUS,🚨 Inondation majeure au local poubelles : l’eau monte vite on entend un bruit bizarre. Urgent !! 😟,inondation majeure au local poubelles l'eau monte vite on entend un bruit bizarre. urgent !!,whatsapp,0,fr,0.8398291137064676,P0,P0_FLOOD_MAJOR,1
MSG_7VCNEAS6Y3VG,2026-01-19 04:14:00,RES_CASA_OASIS,"salam, kayn moshkil f lma f darna, ma kaynch lma mn sbah",salam kayn moshkil f lma f darna ma kaynch lma mn sbah,whatsapp,0,fr,0.7847120485040868,P1,P1_WATER_RULE,1
